P;Attribute (sl);Value (sl);Code (sl);Attribute (en);Value (en);Code (en)
0;besedna_vrsta;števnik;K;CATEGORY;Numeral;M
1;zapis;arabski;a;Form;digit;d
;;rimski;r;;roman;r
;;besedni;b;;letter;l
2;vrsta;glavni;g;Type;cardinal;c
;;vrstilni;v;;ordinal;o
;;zaimkovni;z;;pronominal;p
;;drugi;d;;special;s
3;spol;moški;m;Gender;masculine;m
;;ženski;z;;feminine;f
;;srednji;s;;neuter;n
4;število;ednina;e;Number;singular;s
;;dvojina;d;;dual;d
;;množina;m;;plural;p
5;sklon;imenovalnik;i;Case;nominative;n
;;rodilnik;r;;genitive;g
;;dajalnik;d;;dative;d
;;tožilnik;t;;accusative;a
;;mestnik;m;;locative;l
;;orodnik;o;;instrumental;i
6;določnost;ne;n;Definiteness;no;n
;;da;d;;yes;y
